country,method,seed,bags,within,within_ci_low,within_ci_high,municipalities_scored,pooled,auroc_top_quartile,tokens_scored
colombia,zero-shot,0,153,0.3106431834793116,0.3106431834793116,0.3106431834793116,1,0.3106431834793116,0.7051452532152772,12738
colombia,aggregates,0,153,0.2332147193052169,0.2332147193052169,0.2332147193052169,1,0.2332147193052169,0.6463575260780635,12738
colombia,aggregates,1,153,0.28397948534110573,0.28397948534110573,0.28397948534110573,1,0.28397948534110573,0.6745777496256767,12738
colombia,aggregates,2,153,0.24363650664766076,0.24363650664766076,0.24363650664766076,1,0.24363650664766076,0.6490547350754419,12738
colombia,aggregates@50,0,153,0.38807687718709866,0.38807687718709866,0.38807687718709866,1,0.38807687718709866,0.7369533514910233,12738
colombia,aggregates@50,1,153,0.25746463827675364,0.25746463827675364,0.25746463827675364,1,0.25746463827675364,0.6514044934780966,12738
colombia,aggregates@50,2,153,0.34275607090761323,0.34275607090761323,0.34275607090761323,1,0.34275607090761323,0.7144796288614675,12738
colombia,aggregates@100,0,153,0.277352539107186,0.277352539107186,0.277352539107186,1,0.277352539107186,0.6803008423623516,12738
colombia,aggregates@100,1,153,0.2019157808847816,0.2019157808847816,0.2019157808847816,1,0.2019157808847816,0.6300898521225771,12738
colombia,aggregates@100,2,153,0.2456404012035503,0.2456404012035503,0.2456404012035503,1,0.2456404012035503,0.6560055376179338,12738
colombia,mexico-init,0,153,0.36683290834361776,0.36683290834361776,0.36683290834361776,1,0.36683290834361776,0.7250526009344173,12738
colombia,mexico-init,1,153,0.30606245603629323,0.30606245603629323,0.30606245603629323,1,0.30606245603629323,0.6856308489311751,12738
colombia,mexico-init,2,153,0.2712756332878461,0.2712756332878461,0.2712756332878461,1,0.2712756332878461,0.6771327837652895,12738
colombia,oracle,0,153,0.7371395308195006,0.7371395308195006,0.7371395308195006,1,0.7371395308195006,0.9027310003421434,12738
colombia,oracle,1,153,0.7571519467174507,0.7571519467174507,0.7571519467174507,1,0.7571519467174507,0.9063551681319878,12738
colombia,oracle,2,153,0.7453017624511009,0.7453017624511009,0.7453017624511009,1,0.7453017624511009,0.9008381037234683,12738
brazil,zero-shot,0,48,0.09855601975950798,0.04815758135479157,0.1479798229205116,47,0.28258405824851657,0.6480178425662068,110728
brazil,aggregates,0,48,0.11770475081700321,0.0688115739951158,0.16845092976330725,47,0.3457129087527864,0.6410273083312149,110728
brazil,aggregates,1,48,0.1248797862290779,0.0782569369768127,0.17506509334402506,47,0.313775375489795,0.631389608500829,110728
brazil,aggregates,2,48,0.12572426725496202,0.07935745001137934,0.17085508195720553,47,0.3593580721292256,0.6468937839018082,110728
brazil,mexico-init,0,48,0.07331521962944987,0.02060329144045356,0.12505309366197692,47,0.3261431820228097,0.6259372000565173,110728
brazil,mexico-init,1,48,0.07686191164405441,0.02528585772366703,0.1266971832746249,47,0.32263920129789686,0.6294788355495168,110728
brazil,mexico-init,2,48,0.08472643634684365,0.030788005463231204,0.13599177034534277,47,0.36328871775185273,0.6434171731318665,110728
brazil,oracle,0,48,0.24990762230993965,0.20018855321752252,0.29879695862194566,47,0.4804252286118323,0.7119010310442606,110728
brazil,oracle,1,48,0.2434417854337391,0.19351183452904602,0.29059001377293314,47,0.4411184547067069,0.6958381529748023,110728
brazil,oracle,2,48,0.23195089140041208,0.18489972868935553,0.27966551591564043,47,0.4706629241426893,0.7040537224286382,110728
