country,method,seed,municipality,rho
colombia,zero-shot,0,11001,0.3494450667798965
colombia,aggregates,0,11001,0.1950650618894389
colombia,aggregates,1,11001,0.19385620269756157
colombia,aggregates,2,11001,0.1957337963777605
colombia,aggregates@50,0,11001,0.16911992639519327
colombia,aggregates@50,1,11001,0.030266928102037467
colombia,aggregates@50,2,11001,0.23581355582237473
colombia,aggregates@100,0,11001,0.18196646048739956
colombia,aggregates@100,1,11001,0.07799184463722203
colombia,aggregates@100,2,11001,0.25831129790328367
colombia,aggregates@200,0,11001,0.21474725861318414
colombia,aggregates@200,1,11001,0.20653056230760622
colombia,aggregates@200,2,11001,0.3162496332609922
colombia,aggregates@400,0,11001,0.18463439690279682
colombia,aggregates@400,1,11001,0.16512477073260332
colombia,aggregates@400,2,11001,0.29158111674180803
colombia,mexico-init,0,11001,0.2996090354522881
colombia,mexico-init,1,11001,0.3615092164688612
colombia,mexico-init,2,11001,0.35351235620641586
colombia,oracle,0,11001,0.7391009847514265
colombia,oracle,1,11001,0.7414120173158683
colombia,oracle,2,11001,0.7200907211994947
brazil,zero-shot,0,1100023,0.1399820568396802
brazil,zero-shot,0,1100049,0.20573333974220587
brazil,zero-shot,0,1100098,-0.08807882659935105
brazil,zero-shot,0,1100106,-0.18263389678370862
brazil,zero-shot,0,1100114,0.16260200202599612
brazil,zero-shot,0,1100122,0.1823183877901546
brazil,zero-shot,0,1100155,-0.013254922889812766
brazil,zero-shot,0,1100189,-0.2794916354296012
brazil,zero-shot,0,1100205,0.14360741403379587
brazil,zero-shot,0,1100288,-0.2151779493423904
brazil,zero-shot,0,1100304,0.19960753005492035
brazil,zero-shot,0,1200203,-0.009255179928544296
brazil,zero-shot,0,1200401,0.1814735767440854
brazil,zero-shot,0,1200500,0.1573406425725314
brazil,zero-shot,0,1200609,-0.008339995058206283
brazil,zero-shot,0,1300607,0.29802085728558275
brazil,zero-shot,0,1300706,-0.1486173422363251
brazil,zero-shot,0,1300805,0.31305957640372756
brazil,zero-shot,0,1301001,0.3734642555570283
brazil,zero-shot,0,1301209,0.3308902668887367
brazil,zero-shot,0,1301407,-0.13934304785123894
brazil,zero-shot,0,1301704,0.14440968932100998
brazil,zero-shot,0,1301852,0.34921769885212156
brazil,zero-shot,0,1301902,0.008882481668113193
brazil,zero-shot,0,1302405,-0.021425555261274546
brazil,zero-shot,0,1302504,-0.06988573647898107
brazil,zero-shot,0,1302603,0.16081700303853133
brazil,zero-shot,0,1302702,0.005651920354120656
brazil,zero-shot,0,1302900,0.1561019615132743
brazil,zero-shot,0,1303403,-0.22786646016927656
brazil,zero-shot,0,1303700,-0.031231069542288933
brazil,zero-shot,0,1303809,0.5318767130072347
brazil,zero-shot,0,1303908,-0.15765787434885073
brazil,zero-shot,0,1304062,0.06386198788460075
brazil,zero-shot,0,1304203,-0.3430703031033177
brazil,zero-shot,0,1400100,0.20940169657169233
brazil,zero-shot,0,1400175,-0.1988508096363779
brazil,zero-shot,0,1400472,0.35625092417620047
brazil,zero-shot,0,1500107,0.12912526856764284
brazil,zero-shot,0,1500404,-0.10000028554183818
brazil,zero-shot,0,1500503,0.2545363066175765
brazil,zero-shot,0,1500602,-0.07097379529799858
brazil,zero-shot,0,1500800,0.09620141020340903
brazil,zero-shot,0,1500909,0.22779944849367434
brazil,zero-shot,0,1501204,0.45553639707545834
brazil,zero-shot,0,1501303,0.19627748938862652
brazil,zero-shot,0,1501402,0.15406865432881942
brazil,zero-shot,0,1501501,0.19571223843324947
brazil,zero-shot,0,1501709,0.15980616912795084
brazil,zero-shot,0,1501782,0.20943803989170998
brazil,zero-shot,0,1501808,0.22147170096507296
brazil,zero-shot,0,1502103,-0.201283660067979
brazil,zero-shot,0,1502152,-0.030625442260063012
brazil,zero-shot,0,1502202,-0.032905942022308995
brazil,zero-shot,0,1502301,0.0875194578935429
brazil,zero-shot,0,1502400,-0.07352661507367136
brazil,zero-shot,0,1502707,-0.13958672745346107
brazil,zero-shot,0,1502905,-0.19074894027800257
brazil,zero-shot,0,1502939,0.08613855428315532
brazil,zero-shot,0,1503200,0.48164554745797306
brazil,zero-shot,0,1503309,-0.09081901897662731
brazil,zero-shot,0,1503606,-0.13900876428738576
brazil,zero-shot,0,1503705,-0.07883868576881063
brazil,zero-shot,0,1503804,-0.043240471810286285
brazil,zero-shot,0,1503903,-0.03150169194335885
brazil,zero-shot,0,1504059,0.21601734751914506
brazil,zero-shot,0,1504208,0.06082030357252634
brazil,zero-shot,0,1504422,0.08362733717219163
brazil,zero-shot,0,1504703,-0.2877388411922912
brazil,zero-shot,0,1504802,0.24403173127865194
brazil,zero-shot,0,1505031,0.21464958618789293
brazil,zero-shot,0,1505064,-0.15720368152789654
brazil,zero-shot,0,1505106,0.3647148001263069
brazil,zero-shot,0,1505304,0.21845489962612624
brazil,zero-shot,0,1505437,0.0869441512470057
brazil,zero-shot,0,1505502,0.324410611739447
brazil,zero-shot,0,1505536,0.2796156248649677
