country,method,seed,municipality,rho
colombia,zero-shot,0,11001,0.4585906123139511
colombia,aggregates,0,11001,0.21240132843613374
colombia,aggregates,1,11001,0.27807477665116354
colombia,aggregates,2,11001,0.29657745305240507
colombia,aggregates@50,0,11001,0.08941957497500919
colombia,aggregates@50,1,11001,0.10214379258310895
colombia,aggregates@50,2,11001,0.1672094084733522
colombia,aggregates@100,0,11001,0.17704239705056066
colombia,aggregates@100,1,11001,0.21071883843702555
colombia,aggregates@100,2,11001,0.20227119102772073
colombia,aggregates@200,0,11001,0.19578398783943385
colombia,aggregates@200,1,11001,0.1118999372562663
colombia,aggregates@200,2,11001,0.25308145903243845
colombia,aggregates@400,0,11001,0.17177491710221446
colombia,aggregates@400,1,11001,0.19666663020967007
colombia,aggregates@400,2,11001,0.300805499020699
colombia,mexico-init,0,11001,0.41162433570576795
colombia,mexico-init,1,11001,0.4132607440311263
colombia,mexico-init,2,11001,0.4144402792976192
colombia,oracle,0,11001,0.8084939777014905
colombia,oracle,1,11001,0.8046420565795562
colombia,oracle,2,11001,0.8042166536803435
brazil,zero-shot,0,1100023,0.019933889679903727
brazil,zero-shot,0,1100049,0.1043160354385471
brazil,zero-shot,0,1100098,0.18678809506700517
brazil,zero-shot,0,1100106,-0.07342549432901015
brazil,zero-shot,0,1100114,-0.2220129632425231
brazil,zero-shot,0,1100122,0.17250144036290618
brazil,zero-shot,0,1100155,0.029582099234268803
brazil,zero-shot,0,1100189,-0.14027155497800792
brazil,zero-shot,0,1100205,0.1554932021185658
brazil,zero-shot,0,1100288,0.11936500290139658
brazil,zero-shot,0,1100304,0.28971482013934047
brazil,zero-shot,0,1200203,-0.21786673132381182
brazil,zero-shot,0,1200401,0.2714998830220173
brazil,zero-shot,0,1200500,0.1994769185823613
brazil,zero-shot,0,1200609,0.09145159211643243
brazil,zero-shot,0,1300607,0.2215690275501351
brazil,zero-shot,0,1300706,-0.00809852760855899
brazil,zero-shot,0,1300805,0.20371335857807582
brazil,zero-shot,0,1301001,0.1757987825874431
brazil,zero-shot,0,1301209,0.06852902468087349
brazil,zero-shot,0,1301407,0.19316512557576962
brazil,zero-shot,0,1301704,-0.12064318422907477
brazil,zero-shot,0,1301852,0.34330218976810517
brazil,zero-shot,0,1301902,-0.16246081283804611
brazil,zero-shot,0,1302405,0.3425085099788646
brazil,zero-shot,0,1302504,-0.12785822847789016
brazil,zero-shot,0,1302603,0.2492971208421314
brazil,zero-shot,0,1302702,0.267385792783406
brazil,zero-shot,0,1302900,-0.23685344566034391
brazil,zero-shot,0,1303403,-0.08463872627777806
brazil,zero-shot,0,1303700,0.01956963235253893
brazil,zero-shot,0,1303809,0.6379375219388764
