country,municipality,lon,lat,tokens,score,split
brazil,1100023,-63.03677056195978,-9.907848808225632,1362,1.814041,
brazil,1100049,-61.44917047740773,-11.437414885646676,1247,1.5930065,
brazil,1100098,-61.01742489935552,-11.535345239071495,406,1.7928836,
brazil,1100106,-65.31924912442729,-10.775438560531315,598,1.8849134,
brazil,1100114,-62.47430735049394,-10.438160424967709,633,1.8032167,
brazil,1100122,-61.94009979811724,-10.879525159714715,1786,1.6781923,
brazil,1100155,-62.258095736400215,-10.718236395985523,396,1.9519805,
brazil,1100189,-61.18016217390081,-11.677482238515767,576,1.8786498,
brazil,1100205,-63.86272311915176,-8.766417578938169,4380,1.6182612,
brazil,1100288,-61.781481137341665,-11.72366020807626,977,1.725593,
brazil,1100304,-60.12746230751618,-12.734206746606535,1614,1.7624011,
brazil,1200203,-72.68323355471074,-7.617059427970128,643,1.8180764,
brazil,1200401,-67.81802376371688,-9.980963872434387,3307,1.6390252,
brazil,1200500,-68.66487457819414,-9.071536140918647,259,2.2543023,
brazil,1200609,-70.76696944645717,-8.15732574773301,234,2.3180625,
brazil,1300607,-70.02067471710107,-4.381267044560033,164,2.6419268,
brazil,1300706,-67.36501581075282,-8.76102547096595,217,2.2659328,
brazil,1300805,-59.59324621980398,-4.393445416842313,123,2.0515642,
brazil,1301001,-66.89653635202977,-4.875413014796398,170,2.165723,
brazil,1301209,-63.14127962507882,-4.100684337885852,328,1.7768313,
brazil,1301407,-69.87168604080263,-6.657267946208839,188,1.9999434,
brazil,1301704,-63.03483831202893,-7.514533173886036,409,1.8481296,
brazil,1301852,-60.153810215331696,-3.2155358478016645,481,2.1615684,
brazil,1301902,-58.43828374036313,-3.131407385100511,409,1.726216,
brazil,1302405,-64.79124982687435,-7.26410765929584,199,2.1629083,
brazil,1302504,-60.63132197355304,-3.283837551003051,383,1.8585278,
brazil,1302603,-59.99508531168422,-3.059055136621922,10161,1.291062,
brazil,1302702,-61.29129659755402,-5.812973130572092,172,1.9661485,
brazil,1302900,-57.71296156883745,-3.3906597501845215,171,1.4572166,
brazil,1303403,-56.74034001036529,-2.640147364626883,392,1.8142037,
brazil,1303700,-67.94805580231734,-3.098795600745918,117,2.825986,
brazil,1303809,-67.08454489095352,-0.12433511224019204,166,2.3733187,
brazil,1303908,-68.94535394592313,-3.467889650928721,124,2.8704107,
brazil,1304062,-69.9318256259042,-4.237192646428964,346,2.1379588,
brazil,1304203,-64.71281116519081,-3.3570238975489617,258,1.4651276,
brazil,1400100,-60.715975861861445,2.817737390233987,3791,1.6715144,
brazil,1400175,-60.6323233155649,2.790697889208198,93,1.9895098,
brazil,1400472,-60.42981676263562,0.938848668235688,229,2.1179192,
brazil,1500107,-48.87205836727663,-1.727151237018665,453,1.8553323,
brazil,1500404,-54.73214287198865,-1.944295490756063,310,2.1015654,
brazil,1500503,-52.5781295719815,-1.525454011800216,136,2.28232,
brazil,1500602,-52.22405409690886,-3.205192216065741,1174,1.8171906,
brazil,1500800,-48.388848253670325,-1.3613005558610543,2923,1.424297,
brazil,1500909,-46.641732472790785,-1.0245525235935355,102,2.5075128,
brazil,1501204,-49.668296022878394,-2.795154306936511,107,1.8984438,
brazil,1501303,-48.67098627807114,-1.5203638172834437,846,1.8615756,
brazil,1501402,-48.458066047519736,-1.417789996157487,2688,1.3220806,
brazil,1501501,-48.257979208181645,-1.35198424816883,611,1.9266006,
brazil,1501709,-46.77190565849528,-1.0515429523904312,483,2.1346889,
brazil,1501782,-49.57189691532996,-3.776659725851434,228,1.5524002,
brazil,1501808,-50.47920455937691,-1.681675769518002,206,2.0335557,
brazil,1502103,-49.507892201896354,-2.2453304423702787,248,2.113467,
brazil,1502152,-49.85540805214367,-6.531732435912349,876,1.8242809,
brazil,1502202,-47.17782408136949,-1.1963024263260207,545,1.8277705,
brazil,1502301,-47.066713193406144,-1.7460880221064599,262,1.9863039,
brazil,1502400,-47.92215094922301,-1.2902266978018255,1592,1.828014,
brazil,1502707,-49.27321948249456,-8.268011656805632,412,1.9499241,
brazil,1502905,-47.86170573594687,-0.7239548186334367,168,2.365124,
brazil,1502939,-47.553721715668836,-4.299334110294207,392,1.6069645,
brazil,1503200,-47.62229703610371,-1.1276489157863991,231,1.5668226,
brazil,1503309,-48.96035832697654,-1.9771178010103625,134,2.2731285,
brazil,1503606,-55.993046006695856,-4.261175576717177,937,1.6998996,
brazil,1503705,-49.33899740596846,-5.136056114749837,192,1.9604186,
brazil,1503804,-49.11244493363279,-4.444336700665273,386,1.7662396,
brazil,1503903,-56.09096382011521,-2.162035207600911,217,1.8511174,
brazil,1504059,-47.55227110776538,-2.046909574701974,276,1.9373268,
brazil,1504208,-49.096425442053466,-5.347953199112411,2468,1.609512,
brazil,1504422,-48.336676678107004,-1.3697628622120983,1308,1.4291756,
brazil,1504703,-48.76660397854854,-1.8946286508663495,215,1.9038346,
brazil,1504802,-54.075150754700736,-1.9913132263291853,460,1.775829,
brazil,1505031,-55.416959176977464,-7.039885279047404,445,1.8778932,
brazil,1505064,-49.94597794109789,-4.250642711672486,294,2.2958984,
brazil,1505106,-55.5160907511805,-1.8984217342302765,260,1.8378568,
brazil,1505304,-55.86005942342418,-1.7594377658622806,396,2.059809,
brazil,1505437,-51.0729958979051,-6.7544252292897555,389,1.8775922,
brazil,1505502,-47.37626883687457,-2.995461293680917,949,1.6882066,
brazil,1505536,-49.8751842493198,-6.071307767470096,2324,1.6265236,
brazil,1505809,-50.816243132614055,-1.9416812780993362,135,1.955188,
brazil,1506138,-50.02827280084827,-8.03977268207433,1117,1.7071166,
brazil,1506187,-48.07222899805842,-4.782385496309497,299,2.0169017,
brazil,1506195,-54.90960956182781,-4.098801297325277,211,2.4463167,
brazil,1506203,-47.33317211029868,-0.6278511069257109,631,1.7435367,
brazil,1506500,-48.16671142847219,-1.3012522353392202,458,1.8380778,
brazil,1506708,-50.33771455346882,-9.33235809657868,354,1.8604714,
brazil,1506807,-54.72464534872547,-2.4595021718496746,2210,1.7035874,
brazil,1507300,-51.97302246944707,-6.645657910027023,405,2.2791574,
brazil,1507607,-47.48025169242648,-1.6098517599387523,330,2.1924558,
brazil,1507904,-48.51812653647043,-0.721537058583809,182,1.9335233,
brazil,1507953,-48.95087200047669,-2.938035775646979,503,1.752925,
