city,municipalities,agebs,rho_within,grades_present,share_high,median_spread
guerrero,1,21,-0.5104656101507404,3,0.3333333333333333,0.10102009028196335
carmen,1,54,-0.2670093884259887,4,0.037037037037037035,0.06916536390781403
escarcega,1,24,-0.0010474937596563502,4,0.2916666666666667,0.09322091937065125
madera,1,46,0.05212900091504452,5,0.21739130434782608,0.13326480984687805
queretaro,3,514,0.09125832868078615,5,0.029182879377431907,0.10899326205253601
zapopan,2,335,0.1052334163147564,4,0.01791044776119403,0.10359290987253189
garcia,3,324,0.25748392195040704,5,0.021604938271604937,0.08801909536123276
nogales,1,171,0.26133672876904057,5,0.05847953216374269,0.09255500137805939
victoria,1,165,0.3725594295388523,5,0.030303030303030304,0.10162058472633362
hidalgo,1,71,0.42528010419772916,5,0.39436619718309857,0.09781485050916672
irapuato,1,214,0.4651915049507621,5,0.16822429906542055,0.12138955295085907
ixtapaluca,4,463,0.4714154309981729,5,0.16630669546436286,0.09685730189085007
lapaz,1,276,0.5343473444831829,5,0.11231884057971014,0.0952349528670311
igualadelaindependencia,1,133,0.6388625230499219,5,0.40601503759398494,0.12539653480052948
