city,municipalities,agebs,rho_within,grades_present,share_high,median_spread
guerrero,1,22,-0.5406773675772611,3,0.36363636363636365,0.11889861524105072
carmen,1,54,-0.2592377180580202,4,0.037037037037037035,0.07399414479732513
madera,1,46,-0.030706123826670057,5,0.21739130434782608,0.10159048438072205
escarcega,1,25,0.06190039836162694,4,0.32,0.15941369533538818
queretaro,3,514,0.13089778750459777,5,0.029182879377431907,0.12017771601676941
zapopan,2,335,0.14619863011140355,4,0.01791044776119403,0.12208662182092667
nogales,1,171,0.2318501589892163,5,0.05847953216374269,0.1324983537197113
garcia,3,324,0.2416496535712449,5,0.021604938271604937,0.1100877895951271
victoria,1,165,0.3516398379635377,5,0.030303030303030304,0.09717031568288803
hidalgo,1,71,0.4408011072945018,5,0.39436619718309857,0.09298472106456757
ixtapaluca,4,463,0.4717423320005914,5,0.16630669546436286,0.08930312097072601
irapuato,1,214,0.4787081695835239,5,0.16822429906542055,0.1230570524930954
lapaz,1,276,0.5301891704472744,5,0.11231884057971014,0.09390105307102203
igualadelaindependencia,1,133,0.6208878868619045,5,0.40601503759398494,0.14098764955997467
