city,municipalities,agebs,rho_within,grades_present,share_high,median_spread
carmen,1,54,-0.21794284253524693,4,0.037037037037037035,0.11323007941246033
guerrero,1,22,-0.15567676142866874,3,0.36363636363636365,0.1465132087469101
madera,1,46,0.04077487605820606,5,0.21739130434782608,0.05866485834121704
zapopan,2,335,0.1375681664227863,4,0.01791044776119403,0.08596721291542053
garcia,3,324,0.18831023402489733,5,0.021604938271604937,0.10697083175182343
queretaro,3,514,0.27494360129319967,5,0.029182879377431907,0.10485534369945526
escarcega,1,25,0.30091726502805505,4,0.32,0.2129165679216385
victoria,1,165,0.3011202430653449,5,0.030303030303030304,0.10293218493461609
nogales,1,171,0.30268495604018486,5,0.05847953216374269,0.08788783103227615
lapaz,1,276,0.47596827885166415,5,0.11231884057971014,0.12102822959423065
ixtapaluca,4,463,0.49149894840524944,5,0.16630669546436286,0.11560680717229843
igualadelaindependencia,1,133,0.538538525874517,5,0.40601503759398494,0.11583738029003143
irapuato,1,214,0.5388717613792272,5,0.16822429906542055,0.11667114496231079
hidalgo,1,71,0.5424729162706818,5,0.39436619718309857,0.11382536590099335
