city,municipalities,agebs,rho_within,grades_present,share_high,median_spread
guerrero,1,22,-0.5778002876102514,3,0.36363636363636365,0.10153285413980484
carmen,1,54,-0.11023169213810485,4,0.037037037037037035,0.07371006160974503
escarcega,1,25,-0.03479073484558594,4,0.32,0.11616069823503494
garcia,3,324,0.1133659705428,5,0.021604938271604937,0.1050925999879837
nogales,1,171,0.32327979430782433,5,0.05847953216374269,0.11019521206617355
madera,1,46,0.3381958196351382,5,0.21739130434782608,0.09801284968852997
queretaro,3,514,0.39074847627762255,5,0.029182879377431907,0.07469235360622406
zapopan,2,335,0.4538930869502091,4,0.01791044776119403,0.08080238848924637
ixtapaluca,4,463,0.4618803941483998,5,0.16630669546436286,0.09468603879213333
hidalgo,1,71,0.493022815630518,5,0.39436619718309857,0.11170558631420135
victoria,1,165,0.5072176504295764,5,0.030303030303030304,0.07755535840988159
lapaz,1,276,0.5091033018472482,5,0.11231884057971014,0.09064463526010513
irapuato,1,214,0.5274956976895561,5,0.16822429906542055,0.07749825716018677
igualadelaindependencia,1,133,0.6210638265291658,5,0.40601503759398494,0.11385427415370941
