split,discarded,municipalities,rho_within,ci_low,ci_high
val,0.0,19,0.39071014025754947,0.318696378582326,0.47399737261666164
val,0.1,19,0.35944004455263,0.27785440002512724,0.4502896370481867
val,0.2,19,0.34408028993968803,0.2535180139937954,0.4496537607585111
val,0.3,19,0.3514740685553798,0.2615544426206112,0.45662987782892456
val,0.4,19,0.3548576982169946,0.2709504487148079,0.45220747304269204
val,0.5,19,0.37828858554832,0.3031273887564102,0.4646262294877142
test,0.0,17,0.30911863456283356,0.16861881665510908,0.42423969119989496
test,0.1,17,0.32013453870746317,0.18256214399586243,0.43309733153666674
test,0.2,17,0.3261784795944577,0.19309088331157398,0.4347375445689077
test,0.3,17,0.33472818189790865,0.19329800265979416,0.4458166338836959
test,0.4,17,0.3213325614891585,0.18434383791835357,0.42985263490811393
test,0.5,17,0.33626994949650746,0.2114406389125408,0.43385641248078816
