split,discarded,municipalities,rho_within,ci_low,ci_high
val,0.0,19,0.3788403370058286,0.31761806883122806,0.43868167042532236
val,0.1,19,0.3896382065986799,0.32648071411807067,0.45013189529904263
val,0.2,19,0.3878342564451264,0.3235818619898891,0.45071597819051695
val,0.3,19,0.3884910131442031,0.3229675827482657,0.44872902738107107
val,0.4,19,0.38786018790070204,0.31721608937690376,0.4475714914358558
val,0.5,19,0.3847474812446496,0.3161768298195231,0.44225498077692876
test,0.0,17,0.39141311589849304,0.28480450218387615,0.4933134912914139
test,0.1,17,0.3921501441725539,0.2918447237453401,0.4864107230945902
test,0.2,17,0.40554752037770303,0.31550294979395976,0.49566248465566853
test,0.3,17,0.40301781518324614,0.3131011853334842,0.49182423440593226
test,0.4,17,0.384781899282209,0.28382017746489085,0.47851496257722664
test,0.5,17,0.3745471183910037,0.2707787415545837,0.469722345159858
