run: 292 municipalities · 20.1 GB used · 1086.3 GB free
OK cuauhtemoc08017 (1/292) 149 AGEB in 0.0 min · 20.1 GB
OK generalescobedo (2/292) 599 AGEB in 0.1 min · 20.1 GB
OK oaxacadejuarez (3/292) 334 AGEB in 0.1 min · 20.1 GB
OK venustianocarranza09017 (4/292) 822 AGEB in 0.0 min · 20.1 GB
OK manzanillo (5/292) 140 AGEB in 0.0 min · 20.1 GB
OK tultitlan (6/292) 660 AGEB in 0.1 min · 20.1 GB
OK atizapandezaragoza (7/292) 571 AGEB in 0.1 min · 20.1 GB
OK campeche (8/292) 131 AGEB in 0.0 min · 20.1 GB
OK chimalhuacan (9/292) 423 AGEB in 0.0 min · 20.1 GB
OK tecamac (10/292) 508 AGEB in 0.1 min · 20.1 GB
OK monclova (11/292) 194 AGEB in 0.0 min · 20.1 GB
OK salamanca (12/292) 157 AGEB in 0.1 min · 20.1 GB
OK ciudadvalles (13/292) 125 AGEB in 0.0 min · 20.1 GB
OK soledaddegracianosanchez (14/292) 394 AGEB in 0.0 min · 20.1 GB
OK cuernavaca (15/292) 312 AGEB in 0.0 min · 20.1 GB
OK coatzacoalcos (16/292) 147 AGEB in 0.0 min · 20.1 GB
OK elsalto (17/292) 452 AGEB in 0.1 min · 20.1 GB
OK chalco (18/292) 403 AGEB in 0.0 min · 20.1 GB
OK miguelhidalgo (19/292) 772 AGEB in 0.0 min · 20.1 GB
OK sanjuandelrio (20/292) 137 AGEB in 0.1 min · 20.1 GB
OK xochimilco (21/292) 714 AGEB in 0.1 min · 20.1 GB
OK sannicolasdelosgarza (22/292) 738 AGEB in 0.0 min · 20.1 GB
OK piedrasnegras (23/292) 135 AGEB in 0.0 min · 20.1 GB
OK comondu (24/292) 88 AGEB in 0.0 min · 20.1 GB
OK puertopenasco (25/292) 119 AGEB in 0.0 min · 20.1 GB
OK colima (26/292) 242 AGEB in 0.0 min · 20.1 GB
OK tepatitlandemorelos (27/292) 66 AGEB in 0.0 min · 20.1 GB
OK villadealvarez (28/292) 247 AGEB in 0.0 min · 20.1 GB
OK navojoa (29/292) 110 AGEB in 0.0 min · 20.1 GB
OK valledechalcosolidaridad (30/292) 402 AGEB in 0.0 min · 20.1 GB
OK acuna (31/292) 111 AGEB in 0.0 min · 20.1 GB
OK riobravo (32/292) 103 AGEB in 0.0 min · 20.1 GB
OK tampico (33/292) 249 AGEB in 0.0 min · 20.1 GB
OK tlahuac (34/292) 490 AGEB in 0.0 min · 20.1 GB
OK iztacalco (35/292) 803 AGEB in 0.0 min · 20.1 GB
OK delicias (36/292) 142 AGEB in 0.0 min · 20.1 GB
OK santacatarina (37/292) 199 AGEB in 0.0 min · 20.1 GB
OK pozaricadehidalgo (38/292) 149 AGEB in 0.0 min · 20.1 GB
OK tizayuca (39/292) 111 AGEB in 0.0 min · 20.1 GB
OK salvadoralvarado (40/292) 103 AGEB in 0.0 min · 20.1 GB
OK doloreshidalgocunadelaindependencianacional (41/292) 103 AGEB in 0.0 min · 20.1 GB
OK azcapotzalco (42/292) 542 AGEB in 0.0 min · 20.1 GB
OK benitojuarez09014 (43/292) 820 AGEB in 0.0 min · 20.1 GB
OK texcoco (44/292) 290 AGEB in 0.1 min · 20.1 GB
OK jiutepec (45/292) 318 AGEB in 0.0 min · 20.1 GB
OK apaseoelgrande (46/292) 132 AGEB in 0.0 min · 20.1 GB
OK mulege (47/292) 27 AGEB in 0.0 min · 20.1 GB
OK tulancingodebravo (48/292) 130 AGEB in 0.0 min · 20.1 GB
OK tuxpan (49/292) 96 AGEB in 0.0 min · 20.1 GB
OK santiagopapasquiaro (50/292) 96 AGEB in 0.0 min · 20.1 GB
OK elmante (51/292) 90 AGEB in 0.0 min · 20.1 GB
OK guadalupevictoria (52/292) 49 AGEB in 0.0 min · 20.1 GB
OK tala (53/292) 75 AGEB in 0.0 min · 20.1 GB
OK nicolasromero (54/292) 263 AGEB in 0.1 min · 20.1 GB
OK cuautla (55/292) 160 AGEB in 0.0 min · 20.1 GB
OK silaodelavictoria (56/292) 133 AGEB in 0.0 min · 20.1 GB
OK lapaz15070 (57/292) 444 AGEB in 0.0 min · 20.1 GB
OK corregidora (58/292) 278 AGEB in 0.0 min · 20.1 GB
OK muzquiz (59/292) 40 AGEB in 0.0 min · 20.1 GB
OK playasderosarito (60/292) 169 AGEB in 0.0 min · 20.1 GB
OK ciudadmadero (61/292) 232 AGEB in 0.0 min · 20.1 GB
15:11:10 the box crosses a UTM zone and scenes arrive in 2 systems (EPSG:32614: 73, EPSG:32613: 73); compositing uses only EPSG:32614 so that misaligned grids are not stacked
FAIL lagosdemoreno (62/292): RuntimeError: lagosdemoreno/s2: the typical pixel was composited from 0 observations, fewer than the 8 required. Comparing cities built at different depths mixes signal with sampling noise, and validation splits precisely by city.
FAIL hidalgodelparral (63/292): RuntimeError: hidalgodelparral/s2: the typical pixel was composited from 6 observations, fewer than the 8 required. Comparing cities built at different depths mixes signal with sampling noise, and validation splits precisely by city.
OK sabinas (64/292) 122 AGEB in 0.0 min · 20.1 GB
OK sombrerete (65/292) 58 AGEB in 0.0 min · 20.1 GB
FAIL elmarques (66/292): RuntimeError: elmarques/s2: the typical pixel was composited from 7 observations, fewer than the 8 required. Comparing cities built at different depths mixes signal with sampling noise, and validation splits precisely by city.
OK matehuala (67/292) 81 AGEB in 0.0 min · 20.1 GB
OK temixco (68/292) 239 AGEB in 0.0 min · 20.1 GB
OK cordoba (69/292) 124 AGEB in 0.0 min · 20.1 GB
OK zumpango (70/292) 184 AGEB in 69.2 min · 20.5 GB
OK vallehermoso (71/292) 66 AGEB in 0.0 min · 20.5 GB
OK cadereytajimenez (72/292) 151 AGEB in 0.0 min · 20.5 GB
OK yautepec (73/292) 199 AGEB in 0.0 min · 20.5 GB
OK riogrande (74/292) 72 AGEB in 7.3 min · 20.5 GB
OK uriangato (75/292) 156 AGEB in 0.0 min · 20.5 GB
OK tecate (76/292) 55 AGEB in 0.0 min · 20.5 GB
OK metepec (77/292) 303 AGEB in 0.1 min · 20.5 GB
OK zapotlanelgrande (78/292) 80 AGEB in 0.0 min · 20.5 GB
OK coacalcodeberriozabal (79/292) 377 AGEB in 0.0 min · 20.5 GB
OK tuladeallende (80/292) 106 AGEB in 0.0 min · 20.5 GB
OK kanasin (81/292) 287 AGEB in 0.0 min · 20.5 GB
OK jerez (82/292) 68 AGEB in 0.0 min · 20.5 GB
OK sanmigueldeallende (83/292) 63 AGEB in 0.0 min · 20.5 GB
OK moroleon (84/292) 136 AGEB in 0.0 min · 20.5 GB
OK tlaxcala (85/292) 212 AGEB in 0.0 min · 20.5 GB
OK matamoros05017 (86/292) 145 AGEB in 0.0 min · 20.5 GB
OK salinacruz (87/292) 66 AGEB in 0.0 min · 20.5 GB
OK encarnaciondediaz (88/292) 49 AGEB in 0.0 min · 20.5 GB
OK cortazar (89/292) 77 AGEB in 0.0 min · 20.5 GB
OK lapiedad (90/292) 64 AGEB in 0.0 min · 20.5 GB
OK xochitepec (91/292) 172 AGEB in 0.0 min · 20.5 GB
OK linares (92/292) 61 AGEB in 0.0 min · 20.5 GB
OK huixquilucan (93/292) 195 AGEB in 0.0 min · 20.5 GB
OK emilianozapata17008 (94/292) 298 AGEB in 0.0 min · 20.5 GB
OK ocotlan (95/292) 72 AGEB in 0.0 min · 20.5 GB
OK minatitlan (96/292) 103 AGEB in 0.0 min · 20.5 GB
OK buenaventura (97/292) 33 AGEB in 0.0 min · 20.5 GB
OK huehuetoca (98/292) 83 AGEB in 0.0 min · 20.5 GB
OK bocadelrio (99/292) 228 AGEB in 0.0 min · 20.5 GB
OK acolman (100/292) 329 AGEB in 0.0 min · 20.5 GB
OK sabinashidalgo (101/292) 56 AGEB in 0.0 min · 20.5 GB
OK jojutla (102/292) 131 AGEB in 0.0 min · 20.5 GB
OK progreso (103/292) 52 AGEB in 0.0 min · 20.5 GB
OK cozumel (104/292) 56 AGEB in 0.0 min · 20.5 GB
OK eloro (105/292) 56 AGEB in 0.0 min · 20.5 GB
16:40:44 the box crosses a UTM zone and scenes arrive in 2 systems (EPSG:32612: 144, EPSG:32613: 143); compositing uses only EPSG:32612 so that misaligned grids are not stacked
FAIL nuevocasasgrandes (106/292): RuntimeError: nuevocasasgrandes/s2: the typical pixel was composited from 7 observations, fewer than the 8 required. Comparing cities built at different depths mixes signal with sampling noise, and validation splits precisely by city.
OK santiagoixcuintla (107/292) 20 AGEB in 0.0 min · 20.7 GB
OK cuencame (108/292) 37 AGEB in 0.0 min · 20.7 GB
OK sanpedrogarzagarcia (109/292) 355 AGEB in 0.0 min · 20.7 GB
OK martinezdelatorre (110/292) 52 AGEB in 0.0 min · 20.7 GB
OK santiago (111/292) 72 AGEB in 0.0 min · 20.7 GB
OK arandas (112/292) 41 AGEB in 0.0 min · 20.7 GB
OK lamagdalenacontreras (113/292) 366 AGEB in 0.0 min · 20.7 GB
OK ramosarizpe (114/292) 133 AGEB in 0.0 min · 20.7 GB
OK sanandrescholula (115/292) 428 AGEB in 0.1 min · 20.7 GB
OK montemorelos (116/292) 51 AGEB in 0.0 min · 20.7 GB
OK chapala (117/292) 77 AGEB in 0.0 min · 20.7 GB
OK calera (118/292) 56 AGEB in 0.0 min · 20.7 GB
OK cueramaro (119/292) 49 AGEB in 0.0 min · 20.7 GB
OK empalme (120/292) 53 AGEB in 0.0 min · 20.7 GB
OK elota (121/292) 49 AGEB in 0.0 min · 20.7 GB
OK ascension (122/292) 28 AGEB in 0.0 min · 20.7 GB
OK sanjuandesabinas (123/292) 70 AGEB in 0.0 min · 20.7 GB
OK sanjuandeloslagos (124/292) 49 AGEB in 0.0 min · 20.7 GB
OK apizaco (125/292) 153 AGEB in 0.0 min · 20.7 GB
OK tlapadecomonfort (126/292) 49 AGEB in 0.0 min · 20.7 GB
OK nava (127/292) 33 AGEB in 0.0 min · 20.7 GB
OK generalplutarcoeliascalles (128/292) 48 AGEB in 0.0 min · 20.7 GB
OK valparaiso (129/292) 48 AGEB in 0.0 min · 20.7 GB
OK penjamo (130/292) 40 AGEB in 0.0 min · 20.7 GB
OK ojinaga (131/292) 48 AGEB in 0.0 min · 20.7 GB
OK pesqueria (132/292) 198 AGEB in 0.0 min · 20.7 GB
OK cosamaloapandecarpio (133/292) 51 AGEB in 0.0 min · 20.7 GB
OK maravatio (134/292) 45 AGEB in 0.0 min · 20.7 GB
OK ometepec (135/292) 50 AGEB in 0.0 min · 20.7 GB
OK cosoleacaque (136/292) 136 AGEB in 0.0 min · 20.7 GB
